DATE(REL),TAG ,LENGTH 1,COLOUR,AREA,DATE(CAP),LENGTH 2,GROWTH,TIME(DAYS),ANN GROWTH,,,LENGTH 1,ANN GROWTH
27/04/2009,610,147,YELL U,Sandy Point Pitt Is.,29/06/2010,150,3,428,2.6,,,147,2.6
27/04/2009,619,120,YELL U,Sandy Point Pitt Is.,29/06/2010,126,6,428,5.1,,,120,5.1
27/04/2009,625,123,YELL U,Sandy Point Pitt Is.,29/06/2010,128,5,428,4.3,,,123,4.3
27/04/2009,629,122,YELL U,Sandy Point Pitt Is.,29/06/2010,132,10,428,8.5,,,122,8.5
27/04/2009,647,132,YELL U,Sandy Point Pitt Is.,29/06/2010,141,9,428,7.7,,,132,7.7
27/04/2009,660,122,YELL U,Sandy Point Pitt Is.,29/06/2010,129,7,428,6,,,122,6
27/04/2009,666,109,YELL U,Sandy Point Pitt Is.,29/06/2010,125,16,428,13.6,,,109,13.6
27/04/2009,681,118,YELL U,Sandy Point Pitt Is.,29/06/2010,127,9,428,7.7,,,118,7.7
27/04/2009,712,120,YELL U,Sandy Point Pitt Is.,29/06/2010,130,10,428,8.5,,,120,8.5
27/04/2009,715,97,YELL U,Sandy Point Pitt Is.,29/06/2010,114,17,428,14.5,,,97,14.5
27/04/2009,717,103,YELL U,Sandy Point Pitt Is.,29/06/2010,119,16,428,13.6,,,103,13.6
27/04/2009,724,91,YELL U,Sandy Point Pitt Is.,29/06/2010,112,21,428,17.9,,,91,17.9
27/04/2009,735,120,YELL U,Sandy Point Pitt Is.,29/06/2010,128,8,428,6.8,,,120,6.8
27/04/2009,759,97,YELL U,Sandy Point Pitt Is.,29/06/2010,118,21,428,17.9,,,97,17.9
27/04/2009,760,89,YELL U,Sandy Point Pitt Is.,29/06/2010,106,17,428,14.5,,,89,14.5
27/04/2009,769,91,YELL U,Sandy Point Pitt Is.,29/06/2010,113,22,428,18.8,,,91,18.8
27/04/2009,771,96,YELL U,Sandy Point Pitt Is.,29/06/2010,113,17,428,14.5,,,96,14.5
27/04/2009,774,116,YELL U,Sandy Point Pitt Is.,29/06/2010,127,11,428,9.4,,,116,9.4
27/04/2009,800,99,YELL U,Sandy Point Pitt Is.,29/06/2010,111,12,428,10.2,,,99,10.2
27/04/2009,812,86,YELL U,Sandy Point Pitt Is.,29/06/2010,98,12,428,10.2,,,86,10.2
27/04/2009,813,81,YELL U,Sandy Point Pitt Is.,29/06/2010,102,21,428,17.9,,,81,17.9
27/04/2009,814,79,YELL U,Sandy Point Pitt Is.,29/06/2010,98,19,428,16.2,,,79,16.2
27/04/2009,815,72,YELL U,Sandy Point Pitt Is.,29/06/2010,93,21,428,17.9,,,72,17.9
27/04/2009,816,70,YELL U,Sandy Point Pitt Is.,29/06/2010,95,25,428,21.3,,,70,21.3
27/04/2009,820,88,YELL U,Sandy Point Pitt Is.,29/06/2010,108,20,428,17.1,,,88,17.1
27/04/2009,824,89,YELL U,Sandy Point Pitt Is.,29/06/2010,106,17,428,14.5,,,89,14.5
27/04/2009,837,110,YELL U,Sandy Point Pitt Is.,29/06/2010,121,11,428,9.4,,,110,9.4
27/04/2009,847,81,YELL U,Sandy Point Pitt Is.,29/06/2010,101,20,428,17.1,,,81,17.1
27/04/2009,859,121,YELL U,Sandy Point Pitt Is.,29/06/2010,130,9,428,7.7,,,121,7.7
27/04/2009,864,93,YELL U,Sandy Point Pitt Is.,29/06/2010,111,18,428,15.4,,,93,15.4
27/04/2009,867,80,YELL U,Sandy Point Pitt Is.,29/06/2010,102,22,428,18.8,,,80,18.8
27/04/2009,876,88,YELL U,Sandy Point Pitt Is.,29/06/2010,108,20,428,17.1,,,88,17.1
27/04/2009,894,97,YELL U,Sandy Point Pitt Is.,29/06/2010,112,15,428,12.8,,,97,12.8
27/04/2009,899,123,YELL U,Sandy Point Pitt Is.,29/06/2010,136,13,428,11.1,,,123,11.1
27/04/2009,905,127,YELL U,Sandy Point Pitt Is.,29/06/2010,135,8,428,6.8,,,127,6.8
27/04/2009,929,117,YELL U,Sandy Point Pitt Is.,29/06/2010,130,13,428,11.1,,,117,11.1
27/04/2009,930,128,YELL U,Sandy Point Pitt Is.,29/06/2010,132,4,428,3.4,,,128,3.4
27/04/2009,935,119,YELL U,Sandy Point Pitt Is.,29/06/2010,129,10,428,8.5,,,119,8.5
27/04/2009,948,104,YELL U,Sandy Point Pitt Is.,29/06/2010,126,22,428,18.8,,,104,18.8
27/04/2009,951,111,YELL U,Sandy Point Pitt Is.,29/06/2010,128,17,428,14.5,,,111,14.5
27/04/2009,961,118,YELL U,Sandy Point Pitt Is.,29/06/2010,131,13,428,11.1,,,118,11.1
27/04/2009,963,109,YELL U,Sandy Point Pitt Is.,29/06/2010,123,14,428,11.9,,,109,11.9
27/04/2009,964,110,YELL U,Sandy Point Pitt Is.,29/06/2010,127,17,428,14.5,,,110,14.5
27/04/2009,969,95,YELL U,Sandy Point Pitt Is.,29/06/2010,118,23,428,19.6,,,95,19.6
27/04/2009,970,97,YELL U,Sandy Point Pitt Is.,29/06/2010,117,20,428,17.1,,,97,17.1
27/04/2009,985,81,YELL U,Sandy Point Pitt Is.,29/06/2010,105,24,428,20.5,,,81,20.5
27/04/2009,987,91,YELL U,Sandy Point Pitt Is.,29/06/2010,110,19,428,16.2,,,91,16.2
27/04/2009,992,104,YELL U,Sandy Point Pitt Is.,29/06/2010,119,15,428,12.8,,,104,12.8
27/04/2009,993,119,YELL U,Sandy Point Pitt Is.,29/06/2010,131,12,428,10.2,,,119,10.2
27/04/2009,995,121,YELL U,Sandy Point Pitt Is.,29/06/2010,127,6,428,5.1,,,121,5.1
27/04/2009,4,122,WHITE K,Sandy Point Pitt Is.,29/06/2010,128,6,428,5.1,,,122,5.1
27/04/2009,16,122,WHITE K,Sandy Point Pitt Is.,29/06/2010,130,8,428,6.8,,,122,6.8
27/04/2009,29,108,WHITE K,Sandy Point Pitt Is.,29/06/2010,120,12,428,10.2,,,108,10.2
27/04/2009,49,121,WHITE K,Sandy Point Pitt Is.,29/06/2010,129,8,428,6.8,,,121,6.8
27/04/2009,79,90,WHITE K,Sandy Point Pitt Is.,29/06/2010,99,9,428,7.7,,,90,7.7
27/04/2009,86,107,WHITE K,Sandy Point Pitt Is.,29/06/2010,124,17,428,14.5,,,107,14.5
27/04/2009,96,103,WHITE K,Sandy Point Pitt Is.,29/06/2010,119,16,428,13.6,,,103,13.6
27/04/2009,101,116,WHITE K,Sandy Point Pitt Is.,29/06/2010,123,7,428,6,,,116,6
27/04/2009,112,119,WHITE K,Sandy Point Pitt Is.,29/06/2010,127,8,428,6.8,,,119,6.8
27/04/2009,148,92,WHITE K,Sandy Point Pitt Is.,29/06/2010,109,17,428,14.5,,,92,14.5
27/04/2009,162,108,WHITE K,Sandy Point Pitt Is.,29/06/2010,123,15,428,12.8,,,108,12.8
11/04/2009,92,91,YELL H,Ascots,24/06/2010,98,7,439,5.8,,,91,5.82
11/04/2009,104,111,YELL H,Ascots,24/06/2010,119,8,439,6.7,,,111,6.65
11/04/2009,112,99,YELL H,Ascots,24/06/2010,105,6,439,5,,,99,4.99
11/04/2009,147,117,YELL H,Ascots,24/06/2010,119,2,439,1.7,,,117,1.66
11/04/2009,198,101,YELL H,Ascots,24/06/2010,109,8,439,6.7,,,101,6.65
11/04/2009,203,111,YELL H,Ascots,24/06/2010,115,4,439,3.3,,,111,3.33
11/04/2009,284,112,YELL H,Ascots,24/06/2010,119,7,439,5.8,,,112,5.82
11/04/2009,332,83,YELL H,Ascots,24/06/2010,101,18,439,15,,,83,14.97
11/04/2009,360,116,YELL H,Ascots,24/06/2010,125,9,439,7.5,,,116,7.48
11/04/2009,367,111,YELL H,Ascots,24/06/2010,117,6,439,5,,,111,4.99
11/04/2009,389,116,YELL H,Ascots,24/06/2010,119,3,439,2.5,,,116,2.49
11/04/2009,426,118,YELL H,Ascots,24/06/2010,123,5,439,4.2,,,118,4.16
11/04/2009,459,108,YELL H,Ascots,24/06/2010,115,7,439,5.8,,,108,5.82
11/04/2009,489,105,YELL H,Ascots,24/06/2010,114,9,439,7.5,,,105,7.48
11/04/2009,572,120,YELL H,Ascots,24/06/2010,123,3,439,2.5,,,120,2.49
11/04/2009,583,116,YELL H,Ascots,24/06/2010,122,6,439,5,,,116,4.99
11/04/2009,597,117,YELL H,Ascots,24/06/2010,125,8,439,6.7,,,117,6.65
11/04/2009,646,100,YELL H,Ascots,24/06/2010,112,12,439,10,,,100,9.98
11/04/2009,722,120,YELL H,Ascots,24/06/2010,125,5,439,4.2,,,120,4.16
11/04/2009,753,99,YELL H,Ascots,24/06/2010,106,7,439,5.8,,,99,5.82
19/04/2009,433,118,YELL T,Tubong,27/06/2010,120,2,434,1.7,,,118,1.68
19/04/2009,506,110,YELL T,Tubong,27/06/2010,112,2,434,1.7,,,110,1.68
19/04/2009,552,123,YELL T,Tubong,27/06/2010,126,3,434,2.5,,,123,2.52
19/04/2009,686,107,YELL T,Tubong,27/06/2010,108,1,434,0.8,,,107,0.84
19/04/2009,810,109,YELL T,Tubong,27/06/2010,111,2,434,1.7,,,109,1.68
19/04/2009,842,126,YELL T,Tubong,27/06/2010,129,3,434,2.5,,,126,2.52
19/04/2009,897,116,YELL T,Tubong,27/06/2010,117,1,434,0.8,,,116,0.84
19/04/2009,834,103,YELL H,Tubong,27/06/2010,110,7,434,5.9,,,103,5.89
19/04/2009,923,74,YELL H,Tubong,27/06/2010,92,18,434,15.1,,,74,15.14
7/04/2009,939,121,YELL Z,Okawa,4/07/2010,124,3,453,2.4,,,121,2.4
